Číslo;Druh/počet záznamů;Nálezů;Zastoupení (%);
435;Netta rufina - zrzohlávka rudozobá;14467;,05;
436;Petasites hybridus - devětsil lékařský;14408;,05;
437;Echium vulgare - hadinec obecný;14372;,05;
438;Lutra lutra - vydra říční;14343;,05;
439;Tussilago farfara - podběl lékařský;14267;,05;
440;Poa angustifolia - lipnice úzkolistá;14257;,05;
441;Spatula clypeata - lžičák pestrý;14256;,05;
442;Hedera helix - břečťan popínavý;14176;,05;
443;Myotis daubentonii - netopýr vodní;14159;,05;
444;Loxia curvirostra - křivka obecná;14042;,05;
445;Silene vulgaris - silenka nadmutá;14042;,05;
446;Melampyrum nemorosum - černýš hajní;14037;,05;
447;Galeopsis pubescens - konopice pýřitá;14017;,05;
448;Eriophorum vaginatum - suchopýr pochvatý;13966;,05;
449;Galium boreale - svízel severní;13914;,05;
450;Acrocephalus scirpaceus - rákosník obecný;13836;,05;
451;Potentilla anserina - mochna husí;13818;,05;
452;Polytrichum commune - ploník obecný;13682;,05;
453;Capsella bursa-pastoris - kokoška pastuší tobolka;13681;,05;
454;Crataegus monogyna - hloh jednosemenný;13663;,05;
455;Ichthyosaura alpestris - čolek horský;13621;,05;
456;Tringa ochropus - vodouš kropenatý;13607;,05;
457;Sterna hirundo - rybák obecný;13604;,05;
458;Acrocephalus palustris - rákosník zpěvný;13596;,05;
459;Viola riviniana - violka Rivinova;13591;,05;
460;Calystegia sepium - opletník plotní;13520;,05;
461;Pulmonaria officinalis - plicník lékařský;13480;,05;
462;Bromus benekenii - sveřep Benekenův;13453;,05;
463;Dianthus carthusianorum - hvozdík kartouzek;13439;,05;
464;Galium rotundifolium - svízel okrouhlolistý;13339;,05;
465;Lophophanes cristatus - sýkora parukářka;13299;,05;
466;Plagiomnium affine - měřík příbuzný;13208;,05;
467;Solidago virgaurea - zlatobýl obecný;13183;,05;
468;Coturnix coturnix - křepelka polní;13136;,05;
469;Prunus domestica - slivoň švestka;13127;,05;
470;Hyla arborea - rosnička zelená;13066;,05;
471;Emberiza calandra - strnad luční;13040;,05;
472;Quercus sp.;13034;,05;
473;Plecotus auritus - netopýr ušatý;12941;,05;
474;Polygonia c-album - babočka bílé C;12917;,05;
475;Luzula campestris agg.;12914;,05;
476;Phylloscopus sibilatrix - budníček lesní;12894;,04;
477;Fragaria moschata - jahodník truskavec;12780;,04;
478;Tilia platyphyllos - lípa velkolistá;12768;,04;
479;Bellis perennis - sedmikráska obecná;12754;,04;
480;Galeobdolon luteum agg.;12700;,04;
481;Luzula sylvatica - bika lesní;12649;,04;
482;Juncus articulatus - sítina článkovaná;12552;,04;
483;Cirsium canum - pcháč šedý;12516;,04;
484;Pelophylax esculentus s.l. - skokan zelený komplex;12497;,04;
485;Veronica chamaedrys agg.;12463;,04;
486;Cirsium vulgare - pcháč obecný;12339;,04;
487;Coenagrion puella - šidélko páskované;12323;,04;
488;Origanum vulgare - dobromysl obecná;12277;,04;
489;Hylotelephium maximum - rozchodník velký;12273;,04;
490;Eryngium campestre - máčka ladní;12273;,04;
491;Cynosurus cristatus - poháňka hřebenitá;12269;,04;
492;Trifolium hybridum - jetel zvrhlý;12259;,04;
493;Centaurea stoebe - chrpa latnatá;12237;,04;
494;Lapsana communis - kapustka obecná;12222;,04;
495;Castor fiber - bobr evropský;12145;,04;
496;Rhinanthus minor - kokrhel menší;12137;,04;
497;Potentilla reptans - mochna plazivá;12125;,04;
498;Viburnum opulus - kalina obecná;12083;,04;
499;Salix alba - vrba bílá;12048;,04;
500;Poa palustris - lipnice bahenní;12022;,04;
501;Trifolium alpestre - jetel alpínský;11892;,04;
502;Polygonatum odoratum - kokořík vonný;11871;,04;
503;Spatula querquedula - čírka modrá;11856;,04;
504;Medicago lupulina - tolice dětelová;11820;,04;
505;Cinclus cinclus - skorec vodní;11807;,04;
506;Scutellaria galericulata - šišák vroubkovaný;11803;,04;
507;Viola arvensis - violka rolní;11788;,04;
508;Vulpes vulpes - liška obecná;11748;,04;
509;Corvus frugilegus - havran polní;11707;,04;
510;Sorbus torminalis - jeřáb břek;11583;,04;
511;Platanthera bifolia - vemeník dvoulistý;11529;,04;
512;Scabiosa ochroleuca - hlaváč žlutavý;11485;,04;
513;Anthocharis cardamines - bělásek řeřichový;11483;,04;
514;Sciurus vulgaris - veverka obecná;11476;,04;
515;Locustella naevia - cvrčilka zelená;11467;,04;
